2024-01-10 14:36:31 INFO  FileTypeIdentifier:15 - Start
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:57 - Не удалось распознать расширение
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:70 - Проверка расширений на совпадение.
  2024-01-10 15:13:20 INFO  FileTypeIdentifier:63 - Не удалось определить расширение файла. Программа завершена.
  2024-01-10 15:14:53 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:14:53 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:53 - Корректное расширение установлено: EXE
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:70 - Проверка расширений на совпадение.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:57 - Выполнено восстановление расширения файла. Программа завершена.
  2024-01-10 15:15:16 INFO  FileTypeIdentifier:42 - Отображение восстановленного расширения файла в JFrame.
  2024-01-10 15:16:45 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:16:45 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:16:48 INFO  FileTypeIdentifier:71 - Файл не выбран. Программа завершена.
  2024-01-10 15:22:24 INFO  FileTypeIdentifier:14 - Start.
  2024-01-10 15:22:24 INFO  FileTypeIdentifier:16 - Открытие проводника.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:24 - Файл выбран.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:14 - Процесс копирования файла.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:35 - Файл успешно скопирован.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:20 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:57 - Не удалось распознать расширение.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:70 - Проверка расширений на совпадение.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:63 - Не удалось определить расширение файла. Программа завершена.
  2024-01-10 15:22:34 INFO  FileTypeIdentifier:67 - Отображение сообщения о том, что не удалось распознать расширение файла в JFrame.
  2024-01-10 16:23:44 INFO  FileTypeIdentifier:27 - Start.
  2024-01-10 16:23:44 INFO  FileTypeIdentifier:33 - Открытие проводника.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:45 - Файл выбран.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:23 - Процесс копирования файла.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:57 - Файл успешно скопирован.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:35 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:89 - Корректное расширение установлено: XLSX
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:111 - Проверка расширений на совпадение.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:80 - Выбранный файл не поврежден. Программа завершена.
  2024-01-10 16:23:54 INFO  FileTypeIdentifier:27 - Отображение расширения неповрежденного файла в JFrame.
  2024-01-10 16:24:01 INFO  FileTypeIdentifier:27 - Start.
  2024-01-10 16:24:01 INFO  FileTypeIdentifier:33 - Открытие проводника.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:45 - Файл выбран.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:23 - Процесс копирования файла.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:57 - Файл успешно скопирован.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:35 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:93 - Не удалось распознать расширение.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:111 - Проверка расширений на совпадение.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:92 - Не удалось определить расширение файла. Программа завершена.
  2024-01-10 16:24:10 INFO  FileTypeIdentifier:111 - Отображение сообщения о том, что не удалось распознать расширение файла в JFrame.
  2024-01-10 16:24:16 INFO  FileTypeIdentifier:27 - Start.
  2024-01-10 16:24:16 INFO  FileTypeIdentifier:33 - Открытие проводника.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:45 - Файл выбран.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:23 - Процесс копирования файла.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:57 - Файл успешно скопирован.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:35 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:89 - Корректное расширение установлено: EXE
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:111 - Проверка расширений на совпадение.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:86 - Выполнено восстановление расширения файла. Программа завершена.
  2024-01-10 16:24:33 INFO  FileTypeIdentifier:74 - Отображение восстановленного расширения файла в JFrame.
  2024-01-10 16:27:00 INFO  FileTypeIdentifier:27 - Start.
  2024-01-10 16:27:00 INFO  FileTypeIdentifier:33 - Открытие проводника.
  2024-01-10 16:27:03 INFO  FileTypeIdentifier:100 - Файл не выбран. Программа завершена.
  2024-01-10 16:27:48 INFO  FileTypeIdentifier:27 - Запуск программы.
  2024-01-10 16:27:48 INFO  FileTypeIdentifier:33 - Открытие проводника.
  2024-01-10 16:27:50 INFO  FileTypeIdentifier:100 - Файл не выбран. Программа завершена.
  2024-01-10 16:52:28 INFO  FileTypeIdentifier:27 - Запуск программы.
  2024-01-10 16:52:28 INFO  FileTypeIdentifier:34 - Открытие проводника.
  2024-01-10 16:52:31 INFO  FileTypeIdentifier:101 - Файл не выбран. Программа завершена.
  2024-01-10 17:06:45 INFO  FileTypeIdentifier:25 - Запуск программы.
  2024-01-10 17:06:45 INFO  FileTypeIdentifier:32 - Открытие проводника.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:44 - Файл выбран.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:21 - Процесс копирования файла.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:56 - Файл успешно скопирован.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:33 - Процесс представления файла в HEX формате и поиск корректного расширения.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:88 - Корректное расширение установлено: RAR
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:110 - Проверка расширений на совпадение.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:79 - Выбранный файл не поврежден. Программа завершена.
  2024-01-10 17:06:53 INFO  FileTypeIdentifier:27 - Отображение расширения неповрежденного файла в JFrame.
  2024-01-10 17:09:11 INFO  FileTypeIdentifier:25 - Запуск программы.
  2024-01-10 17:09:11 INFO  FileTypeIdentifier:32 - Открытие проводника.
  2024-01-10 17:09:14 INFO  FileTypeIdentifier:99 - Файл не выбран. Программа завершена.
  
